0.	255.43
0.05	240.44
0.1	204.72
0.15000000000000002	194.86
0.2	191.32
0.25	177.45
0.30000000000000004	155.23
0.35000000000000003	151.3
0.4	129.89
0.45	127.73
0.5	114.91
0.55	106.21
0.6000000000000001	101.1
0.65	89.24
0.7000000000000001	82.47
0.75	83.45
0.8	74.83
0.8500000000000001	68.44
0.9	61.65
0.9500000000000001	58.19
1.	55.45
1.05	52.3
1.1	48.88
1.1500000000000001	45.75
1.2000000000000002	42.1
1.25	39.1
1.3	36.
1.35	32.87
1.4000000000000001	28.51
1.4500000000000002	26.47
1.5	25.86
1.55	24.79
1.6	23.21
1.6500000000000001	20.36
1.7000000000000002	18.52
1.75	17.82
1.8	16.27
1.85	14.95
1.9000000000000001	13.64
1.9500000000000002	13.29
2.	12.54
2.0500000000000003	11.68
2.1	9.92
2.15	9.51
2.2	8.73
2.25	7.99
2.3000000000000003	7.44
2.35	7.05
2.4000000000000004	6.53
2.45	5.96
2.5	5.59
2.5500000000000003	5.38
2.6	4.82
2.6500000000000004	4.39
2.7	4.32
2.75	4.02
2.8000000000000003	3.56
2.85	3.43
2.9000000000000004	3.12
2.95	2.79
3.	2.77
3.0500000000000003	2.44
3.1	2.25
3.1500000000000004	2.12
3.2	1.87
3.25	1.82
3.3000000000000003	1.65
3.35	1.51
3.4000000000000004	1.48
3.45	1.32
3.5	1.19
3.5500000000000003	1.18
3.6	1.05
3.6500000000000004	0.94
3.7	0.94
3.75	0.89
3.8000000000000003	0.82
3.85	0.75
3.9000000000000004	0.7
3.95	0.6
4.	0.58
4.05	0.56
4.1000000000000005	0.49
4.15	0.47
4.2	0.43
4.25	0.4
4.3	0.38
4.3500000000000005	0.33
4.4	0.31
4.45	0.28
4.5	0.27
4.55	0.24
4.6000000000000005	0.23
4.65	0.22
4.7	0.2
4.75	0.18
4.800000000000001	0.17
4.8500000000000005	0.16
4.9	0.15
4.95	0.13
5.	0.12
5.050000000000001	0.12
5.1000000000000005	0.11
5.15	0.09
5.2	0.09
5.25	0.09
5.300000000000001	0.08
5.3500000000000005	0.07
5.4	0.06
5.45	0.06
5.5	0.06
5.550000000000001	0.05
5.6000000000000005	0.05
5.65	0.04
5.7	0.04
5.75	0.03
5.800000000000001	0.03
5.8500000000000005	0.03
5.9	0.03
5.95	0.03
6.	0.02
